Pressure [Pa]	Gas Volume Fraction [-]	Oil Volume Fraction [-]	Water Volume Fraction [-]	Mixture Velocity [m/s]	Gas Velocity [m/s]	Oil Velocity [m/s]	Water Velocity [m/s]
1001930.765	0.4996101781	0	0.5003898219	0.9476903793	0.04293580768	0.95279285	0.9519079314
1001940.94	0.4996080973	0	0.5003919027	0.9476385296	0.04286632455	0.9527410508	0.9518561716
1001951.114	0.4996060164	0	0.5003939836	0.9475864168	0.04279646313	0.9526889887	0.9518041493
1001961.288	0.4996039357	0	0.5003960643	0.9475340409	0.04272622333	0.9526366639	0.9517518644
1001971.461	0.499601855	0	0.500398145	0.9474814019	0.04265560508	0.9525840762	0.9516993168
1001981.635	0.4995997743	0	0.5004002257	0.9474284996	0.04258460832	0.9525312256	0.9516465067
1001991.808	0.4995976938	0	0.5004023062	0.9473753341	0.04251323298	0.9524781121	0.9515934338
1002001.981	0.4995956132	0	0.5004043868	0.9473219053	0.04244147898	0.9524247355	0.9515400981
1002012.154	0.4995935328	0	0.5004064672	0.9472682132	0.04236934626	0.9523710959	0.9514864997
1002022.327	0.4995914524	0	0.5004085476	0.9472142577	0.04229683475	0.9523171932	0.9514326384
1002032.5	0.4995893721	0	0.5004106279	0.9471600387	0.04222394439	0.9522630274	0.9513785142
1002042.672	0.4995872918	0	0.5004127082	0.9471055563	0.04215067511	0.9522085983	0.9513241271
1002052.844	0.4995852116	0	0.5004147884	0.9470508103	0.04207702684	0.9521539061	0.9512694769
1002063.016	0.4995831315	0	0.5004168685	0.9469958008	0.04200299952	0.9520989506	0.9512145638
1002073.187	0.4995810515	0	0.5004189485	0.9469405277	0.04192859309	0.9520437317	0.9511593876
1002083.359	0.4995789715	0	0.5004210285	0.946884991	0.04185380749	0.9519882495	0.9511039483
1002093.53	0.4995768916	0	0.5004231084	0.9468291905	0.04177864265	0.9519325039	0.9510482459
1002103.7	0.4995748118	0	0.5004251882	0.9467731264	0.04170309852	0.9518764949	0.9509922802
1002113.871	0.4995727321	0	0.5004272679	0.9467167984	0.04162717504	0.9518202224	0.9509360514
1002124.041	0.4995706524	0	0.5004293476	0.9466602067	0.04155087215	0.9517636864	0.9508795593
1002134.211	0.4995685728	0	0.5004314272	0.9466033511	0.04147418978	0.9517068869	0.9508228038
1002144.38	0.4995664933	0	0.5004335067	0.9465462317	0.0413971279	0.9516498237	0.9507657851
1002154.55	0.4995644139	0	0.5004355861	0.9464888483	0.04131968643	0.951592497	0.9507085029
1002164.718	0.4995623346	0	0.5004376654	0.946431201	0.04124186532	0.9515349066	0.9506509574
1002174.887	0.4995602554	0	0.5004397446	0.9463732897	0.04116366453	0.9514770524	0.9505931484
1002185.055	0.4995581762	0	0.5004418238	0.9463151143	0.04108508399	0.9514189346	0.9505350759
1002195.223	0.4995560971	0	0.5004439029	0.946256675	0.04100612366	0.951360553	0.9504767399
1002205.391	0.4995540182	0	0.5004459818	0.9461979715	0.04092678349	0.9513019075	0.9504181403
1002215.558	0.4995519393	0	0.5004480607	0.9461390039	0.04084706341	0.9512429983	0.9503592772
1002225.725	0.4995498605	0	0.5004501395	0.9460797721	0.0407669634	0.9511838251	0.9503001504
1002235.892	0.4995477818	0	0.5004522182	0.9460202761	0.04068648338	0.9511243881	0.95024076
1002246.058	0.4995457032	0	0.5004542968	0.9459605159	0.04060562333	0.9510646872	0.9501811059
1002256.224	0.4995436247	0	0.5004563753	0.9459004915	0.04052438318	0.9510047222	0.9501211881
1002266.389	0.4995415463	0	0.5004584537	0.9458402028	0.0404427629	0.9509444933	0.9500610065
1002276.554	0.499539468	0	0.500460532	0.9457796497	0.04036076244	0.9508840004	0.9500005612
1002286.719	0.4995373898	0	0.5004626102	0.9457188323	0.04027838176	0.9508232434	0.949939852
1002296.883	0.4995353117	0	0.5004646883	0.9456577506	0.0401956208	0.9507622223	0.949878879
